VehId,Vehicle Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight
326,ICE,NO DATA,4-FI 2.0L T/C,NO DATA,NO DATA,4000
328,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
329,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,4000
330,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,4000
332,ICE,NO DATA,4-FI 2.0L PZEV,NO DATA,NO DATA,2500
333,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,2500
334,ICE,NO DATA,4-FI T/C 1.4L,NO DATA,NO DATA,3000
337,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3000
338,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
340,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,3500
344,HEV,NO DATA,4-GAS/ELECTRIC 2.3L,NO DATA,NO DATA,3500
345,ICE,NO DATA,4-FI 2.5L,AUTOMATIC/CVT,NO DATA,3500
346,HEV,NO DATA,4-GAS/ELECTRIC 2.0L,NO DATA,NO DATA,3500
347,HEV,NO DATA,6-GAS/ELECTRIC 3.3L,NO DATA,NO DATA,4000
348,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,3000
349,HEV,NO DATA,4-GAS/ELECTRIC 2.5L,NO DATA,NO DATA,3500
350,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,3000
351,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
353,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
354,ICE,NO DATA,6-FI 3.8L,NO DATA,NO DATA,4500
355,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
356,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,3500
357,HEV,NO DATA,4-GAS/ELECTRIC 2.5L,NO DATA,NO DATA,3500
359,ICE,NO DATA,6-FI 3.5L,6-SP AUTOMATIC,NO DATA,4500
360,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
366,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4500
367,ICE,NO DATA,4-FI 2.5L,AUTOMATIC/CVT,NO DATA,3500
368,HEV,NO DATA,4-GAS/ELECTRIC 2.4L,NO DATA,NO DATA,3500
369,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
370,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4500
372,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,3000
374,HEV,NO DATA,4-GAS/ELECTRIC 2.0L,NO DATA,NO DATA,4000
375,HEV,NO DATA,6-GAS/ELECTRIC 3.3L,NO DATA,NO DATA,4500
376,HEV,NO DATA,6-GAS/ELECTRIC 3.3L,NO DATA,NO DATA,4000
378,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,2500
380,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4500
